Package,Built
abcrf,3.5.0
abind,3.5.0
ACD,3.5.0
acepack,3.5.0
actuar,3.5.0
ada,3.5.0
adabag,3.5.0
ade4,3.5.1
AER,3.5.2
afex,3.5.2
agricolae,3.5.1
AlgDesign,3.5.0
Amelia,3.5.0
animation,3.5.0
ANLP,3.5.0
AnnotationDbi,3.2.0
ape,3.5.1
AppliedPredictiveModeling,3.5.0
aqp,3.5.1
arm,3.5.0
assertive,3.5.0
assertive.base,3.5.0
assertive.code,3.5.1
assertive.data,3.5.1
assertive.data.uk,3.5.1
assertive.data.us,3.5.1
assertive.datetimes,3.5.0
assertive.files,3.5.0
assertive.matrices,3.5.0
assertive.models,3.5.1
assertive.numbers,3.5.0
assertive.properties,3.5.0
assertive.reflection,3.5.0
assertive.sets,3.5.0
assertive.strings,3.5.0
assertive.types,3.5.0
assertthat,3.5.0
attempt,3.5.1
autoplotly,3.5.0
aws.iam,3.5.0
aws.s3,3.5.0
aws.signature,3.5.0
babynames,3.5.0
backports,3.5.0
base64enc,3.5.0
BaSTA,3.5.0
BayesFactor,3.5.0
bayesplot,3.5.0
bayess,3.5.0
bazar,3.5.1
BDgraph,3.5.1
bdsmatrix,3.5.0
beeswarm,3.5.0
benchmarkme,3.5.0
benchmarkmeData,3.5.0
BetaBit,3.5.0
BH,3.5.0
bibtex,3.5.0
bigalgebra,3.5.2
biganalytics,3.5.0
biglasso,3.5.0
biglm,3.5.0
bigmemory,3.5.0
bigmemory.sri,3.5.0
bigpca,3.4.4
bigQueryR,3.5.0
bigtabulate,3.5.0
bindr,3.5.0
bindrcpp,3.5.0
binman,3.5.0
binomTools,3.4.1
Biobase,3.2.0
BiocGenerics,3.2.0
BiocInstaller,3.4.1
bit,3.5.0
bit64,3.5.0
bitops,3.5.0
blme,3.5.0
blob,3.5.0
blogdown,3.5.0
blscrapeR,3.5.0
bmp,3.5.0
bookdown,3.5.2
Boom,3.5.0
BoomSpikeSlab,3.5.0
bootstrap,3.5.0
BradleyTerry2,3.5.0
brew,3.5.0
brglm,3.5.0
bridgesampling,3.5.0
brms,3.5.0
Brobdingnag,3.5.1
broom,3.5.1
broom.mixed,3.5.2
bsts,3.5.0
BWStest,3.5.2
ca,3.5.0
cairoDevice,3.5.0
callr,3.5.2
car,3.5.1
carData,3.5.0
caret,3.5.0
caretEnsemble,3.5.0
caTools,3.5.0
catsplainr,3.2.4
CausalImpact,3.5.0
cba,3.5.0
CCP,3.5.0
cellranger,3.5.0
changes,3.4.3
checkmate,3.5.0
checkpoint,3.5.1
chron,3.5.0
classInt,3.5.0
cli,3.5.1
clipr,3.5.0
clisymbols,3.5.1
clue,3.5.1
CluMix,3.5.0
clusterfly,3.5.0
clusteval,3.5.0
clustMixType,3.5.1
ClustOfVar,3.5.0
cmprsk,3.5.0
coda,3.5.0
coin,3.5.0
colorRamps,3.5.0
colorspace,3.5.0
colourpicker,3.5.0
combinat,3.5.0
commonmark,3.5.1
compare,3.5.0
comparison,3.5.0
complainr,3.2.4
config,3.5.0
contfrac,3.5.0
CORElearn,3.5.0
corpcor,3.5.0
corrplot,3.5.0
corrr,3.5.1
couchDB,3.5.0
countrycode,3.5.0
covr,3.5.1
cowplot,3.5.0
cowsay,3.5.0
crayon,3.5.0
crosstalk,3.5.0
crul,3.5.0
cubature,3.5.0
Cubist,3.5.0
curl,3.5.0
CVST,3.5.0
d3Network,3.5.0
d3scatter,3.4.3
Daim,3.5.0
data.table,3.5.0
dataPreparation,3.5.1
date,3.5.0
DBI,3.5.0
dbplyr,3.5.0
ddalpha,3.5.0
debug,3.4.1
debugme,3.5.0
deldir,3.5.1
dendextend,3.5.1
DEoptimR,3.5.0
desc,3.5.0
descriptr,3.5.0
DescTools,3.5.1
deSolve,3.5.0
devtools,3.5.1
dials,3.5.0
dichromat,3.5.0
digest,3.5.0
dimRed,3.5.1
diptest,3.5.0
directlabels,3.5.0
dismo,3.5.0
DMwR,3.5.0
doFuture,3.5.1
doParallel,3.5.1
doRNG,3.5.0
dotCall64,3.5.1
dplyr,3.5.1
DRR,3.5.0
DT,3.5.1
dtplyr,3.5.0
dtt,3.5.0
dummies,3.5.0
dummy,3.5.0
dygraphs,3.5.0
dynamicTreeCut,3.5.0
e1071,3.5.1
EBImage,3.2.1
effects,3.5.1
effsize,3.5.2
egg,3.5.1
elastic,3.5.0
elasticnet,3.5.1
ElemStatLearn,3.5.0
ellipse,3.5.0
elliptic,3.5.0
emmeans,3.5.0
EMT,3.5.0
enc,3.5.1
english,3.5.0
eply,3.5.0
estimability,3.5.0
evaluate,3.5.0
evir,3.5.0
Exact,3.5.0
exact2x2,3.5.2
exactci,3.5.2
expint,3.5.0
explainr,3.2.4
expm,3.5.1
extracat,3.5.0
extrafont,3.5.0
extrafontdb,3.5.0
FactoMineR,3.5.0
fakeR,3.5.0
fansi,3.5.0
faraway,3.5.0
farver,3.5.0
fastmatch,3.5.0
fastTextR,3.5.0
fBasics,3.5.0
FD,3.5.0
fdrtool,3.5.0
feather,3.5.0
feature,3.5.0
features,3.5.0
ff,3.5.0
fftwtools,3.5.0
fields,3.5.0
fit.models,3.5.2
flashClust,3.5.0
flexdashboard,3.5.0
flexmix,3.5.0
flextable,3.5.1
FNN,3.5.0
forcats,3.5.0
foreach,3.5.0
forecast,3.5.0
forge,3.5.1
formatR,3.5.0
Formula,3.5.0
fortunes,3.5.0
fpc,3.5.0
fracdiff,3.5.0
fs,3.5.1
functional,3.5.0
furniture,3.5.1
furrr,3.5.0
future,3.5.0
fuzzyjoin,3.5.0
GAMBoost,3.5.0
gapminder,3.5.0
gargle,3.5.0
gbm,3.5.1
gclus,3.5.0
gdata,3.5.0
gdtools,3.5.0
geepack,3.5.0
gender,3.5.0
generics,3.5.1
GenomeInfoDb,3.2.1
geofacet,3.5.0
geogrid,3.5.0
geojson,3.5.0
geojsonio,3.5.0
geometry,3.5.0
geonames,3.5.0
geoR,3.5.0
geoRglm,3.5.0
geosphere,3.5.0
GGally,3.5.0
gganimate,3.5.0
ggbeeswarm,3.5.0
ggcorrplot,3.5.0
ggdendro,3.5.0
ggeffects,3.5.1
ggExtra,3.5.2
ggforce,3.5.1
ggformula,3.5.0
ggfortify,3.5.0
gghighlight,3.5.1
ggjoy,3.5.0
ggm,3.5.0
ggmap,3.5.0
ggplot2,3.5.1
ggpomological,3.5.0
ggraph,3.5.1
ggrepel,3.5.0
ggridges,3.5.1
ggsignif,3.5.2
ggstance,3.5.0
ggstatsplot,3.5.1
ggtech,3.2.4
ggThemeAssist,3.5.0
ggthemes,3.5.1
ggvis,3.5.0
gh,3.5.1
ghit,3.5.0
gifski,3.5.1
gistr,3.5.0
git2r,3.5.0
glasso,3.5.0
glmmTMB,3.5.0
glmnet,3.5.0
globals,3.5.1
glue,3.5.0
gmodels,3.5.1
gmp,3.5.1
gnm,3.5.2
googleAnalyticsR,3.5.2
googleAuthR,3.5.1
googleCloudStorageR,3.5.0
googledrive,3.5.0
googlePolylines,3.5.1
googlesheets,3.5.0
googleVis,3.5.1
googleway,3.5.1
gower,3.5.0
GPArotation,3.5.2
gplots,3.5.0
gridBase,3.5.0
gridExtra,3.5.0
groupedstats,3.5.2
gss,3.5.0
gstat,3.5.0
gsubfn,3.5.0
gtable,3.5.0
gtfsr,3.3.0
gtools,3.5.0
gWidgets,3.5.0
gWidgetsRGtk2,3.5.0
h2o,3.5.2
hash,3.5.0
hashr,3.5.0
haven,3.5.1
heatmaply,3.5.1
here,3.5.0
hexbin,3.5.0
HIBPwned,3.5.0
highcharter,3.5.0
highlight,3.5.0
highr,3.5.0
HistData,3.5.0
Hmisc,3.5.0
hms,3.5.0
hrbraddins,3.4.0
htmlTable,3.5.0
htmltools,3.5.0
htmlwidgets,3.5.0
httpcode,3.5.0
httpuv,3.5.2
httr,3.5.0
huge,3.5.0
humanFormat,3.5.0
hunspell,3.5.0
hypergeo,3.5.0
igraph,3.5.1
imguR,3.5.0
impute,3.2.0
infer,3.5.1
ini,3.5.1
inline,3.5.0
installr,3.5.0
intervals,3.5.0
inum,3.5.0
ipred,3.5.1
IRanges,3.2.1
irlba,3.5.0
ISLR,3.5.0
ISOcodes,3.5.0
isotone,3.5.0
iterators,3.5.1
itertools,3.5.0
janeaustenr,3.5.0
janitor,3.5.1
jcolors,3.5.2
jmv,3.5.2
jmvcore,3.5.2
jomo,3.5.1
jpeg,3.5.0
jqr,3.5.0
jsonlite,3.5.0
kableExtra,3.5.0
keras,3.5.1
kergp,3.5.0
kernlab,3.5.1
kimisc,3.5.1
kknn,3.5.0
klaR,3.5.1
knitcitations,3.5.0
knitr,3.5.0
ks,3.5.1
kSamples,3.5.2
labeling,3.5.0
labelled,3.5.0
Lahman,3.5.0
lars,3.5.0
later,3.5.0
latticeExtra,3.5.0
lava,3.5.0
lavaan,3.5.1
lazyeval,3.5.0
ldatuning,3.5.0
leaflet,3.5.1
leafletR,3.5.0
leaps,3.5.0
LearnBayes,3.5.0
lexicon,3.5.1
libcoin,3.5.0
likert,3.5.0
limma,3.4.1
lintr,3.5.1
listenv,3.5.0
lme4,3.5.1
lmerTest,3.5.0
lmtest,3.5.0
loa,3.5.1
lobstr,3.5.2
locfit,3.5.0
lokern,3.5.0
loo,3.5.0
lpSolve,3.5.0
lsmeans,3.5.1
LSMonteCarlo,3.5.0
ltsa,3.5.0
lubridate,3.5.0
lvplot,3.5.1
magic,3.5.1
magick,3.5.0
magrittr,3.5.0
manipulate,3.5.0
manipulateWidget,3.5.0
mansplainr,3.2.4
mapdata,3.5.0
mapplots,3.5.0
mapproj,3.5.0
maps,3.5.0
maptools,3.5.0
margins,3.5.1
markdown,3.5.0
markmyassignment,3.5.0
markovchain,3.5.1
marray,3.4.1
Matching,3.5.0
MatchIt,3.5.0
matlab,3.5.0
matrixcalc,3.5.0
MatrixModels,3.5.0
matrixStats,3.5.0
maxent,3.5.0
maxLik,3.5.0
mboost,3.5.0
mc2d,3.5.2
mclust,3.5.1
mcmc,3.5.0
MCMCpack,3.5.1
mda,3.5.0
meifly,3.5.0
memoise,3.5.0
merTools,3.5.0
mgsub,3.5.0
mi,3.5.0
mice,3.5.0
microbenchmark,3.5.1
mime,3.5.1
miniUI,3.5.0
minqa,3.5.0
MInt,3.5.0
misc3d,3.5.0
miscTools,3.5.0
missDeaths,3.5.0
missForest,3.5.0
MissingDataGUI,3.5.0
missMDA,3.5.0
MissMech,3.5.0
mitml,3.5.0
mitools,3.5.0
mixtools,3.5.0
mlbench,3.5.0
MLmetrics,3.5.1
mnormt,3.5.0
modeest,3.5.1
ModelMetrics,3.5.1
modelr,3.5.0
modeltools,3.5.0
monkeylearn,3.5.0
mosaic,3.5.1
mosaicCore,3.5.0
mosaicData,3.5.0
msm,3.5.0
MTurkR,3.5.0
MTurkRGUI,3.5.0
multcomp,3.5.0
multcompView,3.5.2
multicool,3.5.0
MuMIn,3.5.0
munsell,3.5.0
mvbutils,3.5.0
mvnormtest,3.5.2
mvtboost,3.5.0
mvtnorm,3.5.0
naniar,3.5.0
NbClust,3.5.0
NCmisc,3.5.1
ncvreg,3.5.0
network,3.5.0
nFactors,3.5.0
ngram,3.5.0
nleqslv,3.5.0
nloptr,3.5.1
NLP,3.5.1
NMF,3.5.0
nnls,3.5.0
NoiseFiltersR,3.5.0
numDeriv,3.5.0
OceanView,3.5.0
odeintr,3.5.0
officer,3.5.0
oldbookdown,3.3.2
oompaBase,3.5.2
openair,3.5.0
openNLP,3.5.0
openNLPdata,3.5.0
openssl,3.5.1
OpenStreetMap,3.5.0
openxlsx,3.5.0
ordinal,3.5.1
oro.dicom,3.5.0
oro.nifti,3.5.0
outliers,3.5.0
packrat,3.5.1
pacman,3.5.1
paletteer,3.5.2
palr,3.5.2
pals,3.5.2
pan,3.5.0
pander,3.5.2
parsnip,3.5.1
party,3.5.0
partykit,3.5.0
patchwork,3.5.0
pbapply,3.5.0
pbivnorm,3.5.0
pbkrtest,3.5.0
PCAmixdata,3.5.0
pcaPP,3.5.2
pdftools,3.5.1
pec,3.5.0
PerformanceAnalytics,3.5.0
permute,3.5.0
pgmm,3.5.0
pillar,3.5.0
pixmap,3.5.0
pkgbuild,3.5.0
pkgconfig,3.5.0
pkgload,3.5.0
pkgmaker,3.5.0
PKI,3.5.0
plogr,3.5.0
plot3D,3.5.0
plot3Drgl,3.5.0
plotKML,3.5.0
plotly,3.5.1
plotrix,3.5.0
pls,3.5.0
plumber,3.5.0
plyr,3.5.0
PMCMR,3.5.2
PMCMRplus,3.5.2
png,3.5.0
polspline,3.5.0
polycor,3.5.0
PortfolioAnalytics,3.5.0
ppcor,3.5.0
prabclus,3.5.0
praise,3.5.0
prediction,3.5.1
preprosim,3.5.0
prettydoc,3.5.0
prettyunits,3.5.0
pROC,3.5.1
processx,3.5.1
prodlim,3.5.0
profileModel,3.5.0
profr,3.5.1
proftools,3.5.0
profvis,3.5.0
progress,3.5.0
ProjectTemplate,3.5.0
promises,3.5.0
proto,3.5.0
protolite,3.5.0
proxy,3.5.0
pryr,3.5.0
ps,3.5.2
pscl,3.5.0
psych,3.5.1
psycho,3.5.0
purrr,3.5.0
purrrlyr,3.5.2
pwr,3.5.0
qap,3.5.0
qcc,3.5.0
qdap,3.5.0
qdapDictionaries,3.5.0
qdapRegex,3.5.0
qdapTools,3.5.0
qgraph,3.5.0
quadprog,3.5.0
Quandl,3.5.1
quanteda,3.5.0
quantmod,3.5.0
quantreg,3.5.0
questionr,3.5.1
qvcalc,3.5.0
R.cache,3.5.0
R.methodsS3,3.5.0
R.oo,3.5.0
R.rsp,3.5.1
R.utils,3.5.1
r2d3,3.5.2
R4CouchDB,3.5.0
R6,3.5.0
radarchart,3.5.0
RandomFields,3.5.0
RandomFieldsUtils,3.5.0
randomForest,3.5.0
ranger,3.5.0
Rankcluster,3.5.0
RANN,3.5.0
rappdirs,3.5.0
raster,3.5.1
ratelimitr,3.5.0
rattle,3.5.1
rbokeh,3.5.0
Rcereal,3.5.0
rCharts,3.2.1
rcmdcheck,3.5.0
RColorBrewer,3.5.0
Rcpp,3.5.1
RcppArmadillo,3.5.1
RcppEigen,3.5.0
RcppParallel,3.5.0
RcppProgress,3.5.0
RcppRoll,3.5.0
RCurl,3.5.1
readbitmap,3.5.0
reader,3.5.0
readr,3.5.2
readxl,3.5.2
recipes,3.5.0
RefManageR,3.5.0
registry,3.5.0
regtest,3.5.0
relimp,3.5.2
relsurv,3.5.1
rematch,3.5.0
rematch2,3.5.0
remedy,3.5.1
remotes,3.5.0
repmis,3.5.0
reports,3.5.0
represtools,3.5.0
reprex,3.5.1
reshape,3.5.1
reshape2,3.5.0
reticulate,3.5.1
revealjs,3.5.0
rex,3.5.0
rgdal,3.5.1
rgenoud,3.5.0
rgeos,3.5.1
rggobi,3.5.1
rgl,3.5.0
RGoogleAnalytics,3.5.0
RGoogleAnalyticsPremium,3.5.0
RgoogleMaps,3.5.1
RGraphics,3.5.0
RGtk2,3.5.0
rhdf5,3.2.0
rio,3.5.1
rjags,3.5.1
rJava,3.5.0
RJDBC,3.5.0
rjson,3.5.0
RJSONIO,3.5.1
rlang,3.5.1
rlist,3.5.0
rmarkdown,3.5.0
RMongo,3.5.0
Rmpfr,3.5.1
Rmpi,3.5.1
rms,3.5.0
rmsfact,3.5.0
rmutil,3.5.0
rnaturalearth,3.5.0
rngtools,3.5.0
RNifti,3.5.1
robust,3.5.2
robustbase,3.5.1
ROCR,3.5.0
roxygen2,3.5.1
rpart.plot,3.5.0
RPostgreSQL,3.5.0
rprojroot,3.5.0
RQGIS,3.5.1
rrcov,3.5.2
RRF,3.5.1
RSAGA,3.5.1
rsample,3.5.0
rsconnect,3.5.1
RSelenium,3.5.0
RSpectra,3.5.0
RSQLite,3.5.0
RSQLServer,3.4.0
rstan,3.5.1
rstanarm,3.5.1
rstantools,3.5.0
rstudioapi,3.5.0
RTextTools,3.5.0
Rttf2pt1,3.5.0
rtweet,3.5.0
rversions,3.5.0
rvest,3.5.0
rvg,3.5.0
RWeka,3.5.1
RWekajars,3.5.1
Ryacas,3.5.0
S4Vectors,3.2.2
sampling,3.5.1
sandwich,3.5.1
scales,3.5.0
scatterplot3d,3.5.0
scico,3.5.0
scryr,3.5.0
scyr,3.5.0
seewave,3.5.0
segmented,3.5.0
selectr,3.5.0
sem,3.5.0
semver,3.5.0
sentimentr,3.5.1
seriation,3.5.1
servr,3.5.0
sessioninfo,3.5.1
settings,3.5.0
sf,3.5.2
sfsmisc,3.5.0
shape,3.5.0
shapefiles,3.5.0
shiny,3.5.1
shinyapps,3.2.1
shinydashboard,3.5.1
shinydashboardPlus,3.5.1
shinyDND,3.5.0
shinyjs,3.5.0
shinystan,3.5.0
shinythemes,3.5.1
showtext,3.5.0
showtextdb,3.5.0
sigclust,3.5.0
signal,3.5.0
simputation,3.5.1
simulator,3.5.0
sjlabelled,3.5.1
sjmisc,3.5.1
sjPlot,3.5.2
sjstats,3.5.1
skimr,3.5.2
slam,3.5.2
slidify,3.2.1
slidifyLibraries,3.2.1
slipper,3.3.2
sna,3.5.0
snakecase,3.5.1
snow,3.5.1
SnowballC,3.5.0
snowfall,3.5.0
sofa,3.5.0
SortableHTMLTables,3.5.0
sortinghat,3.5.0
sos,3.5.0
sourcetools,3.5.0
sp,3.5.0
spacetime,3.5.1
spacyr,3.5.0
spam,3.5.2
sparkline,3.5.2
sparklyr,3.5.1
SparseM,3.5.0
spData,3.5.1
spdep,3.5.0
splancs,3.5.0
sqldf,3.5.0
sqliter,3.5.0
sqlutils,3.5.0
SQUAREM,3.5.0
srvyr,3.5.1
ssanv,3.5.2
stable,3.5.1
stabledist,3.5.0
StableEstim,3.5.0
stabs,3.5.0
stackoverflow,3.5.1
StanHeaders,3.5.0
stargazer,3.5.0
statip,3.5.1
StatMatch,3.5.0
statnet.common,3.5.0
statsr,3.3.0
stopwords,3.5.0
stringdist,3.5.0
stringi,3.5.0
stringr,3.5.0
strptimer,3.3.0
strucchange,3.5.0
styler,3.5.0
subprocess,3.5.1
SuppDists,3.5.2
survey,3.5.0
svglite,3.5.0
swirl,3.5.0
sysfonts,3.5.1
syuzhet,3.5.0
tabulizer,3.5.0
tabulizerjars,3.5.0
tau,3.5.0
tensorflow,3.5.0
testthat,3.5.1
testthatsomemore,3.2.4
texreg,3.5.0
textclean,3.5.0
textreuse,3.5.0
textshape,3.5.0
tfestimators,3.5.1
tfruns,3.5.1
TH.data,3.5.0
themebrightpeak,3.4.3
threejs,3.5.0
tibble,3.5.0
tidygraph,3.5.0
tidyjson,3.4.0
tidymodels,3.5.0
tidyposterior,3.5.1
tidypredict,3.5.2
tidyr,3.5.1
tidyselect,3.5.1
tidytext,3.5.0
tidyverse,3.5.0
tiff,3.5.0
timeDate,3.5.0
timereg,3.5.0
timeROC,3.5.0
timeSeries,3.5.0
tinytex,3.5.0
titanic,3.5.0
tm,3.5.2
TMB,3.5.1
tokenizers,3.5.0
topicmodels,3.5.2
transformr,3.5.0
tree,3.5.0
treemap,3.5.0
triebeard,3.5.0
trimcluster,3.5.0
trust,3.5.0
TSA,3.5.0
tseries,3.5.0
TSP,3.5.0
TTR,3.5.0
tufte,3.5.1
tuneR,3.5.1
tweenr,3.5.0
twitteR,3.5.0
ubeR,3.5.0
ucminf,3.5.0
udunits2,3.5.0
units,3.5.1
UpSetR,3.5.1
urca,3.5.0
urltools,3.5.0
uroot,3.5.0
USAboundaries,3.5.0
usethis,3.5.1
UsingR,3.4.3
utf8,3.5.0
uuid,3.5.0
V8,3.5.0
validate,3.5.0
vcd,3.5.0
vcdExtra,3.5.2
vegan,3.5.1
venneuler,3.5.0
VGAM,3.5.1
vipor,3.5.0
viridis,3.5.0
viridisLite,3.5.0
visdat,3.5.0
waffle,3.5.0
WDI,3.5.0
wdman,3.5.0
webreadr,3.5.0
webshot,3.5.0
wesanderson,3.5.0
whisker,3.5.0
widyr,3.5.0
withr,3.5.0
wordcloud,3.5.1
WRS2,3.5.2
xaringan,3.5.1
xda,3.3.0
xfun,3.5.0
xgboost,3.5.0
xkcd,3.5.0
xkcdcolors,3.5.0
XLConnect,3.5.0
XLConnectJars,3.5.0
xlsx,3.5.0
xlsxjars,3.5.0
XML,3.5.1
xml2,3.5.0
xopen,3.5.0
xtable,3.5.1
xts,3.5.1
yacca,3.5.1
yaml,3.5.0
yardstick,3.5.1
yhat,3.5.0
yhatr,3.5.0
yummlyr,3.5.0
zeallot,3.5.0
Zelig,3.5.0
zip,3.5.0
zlibbioc,3.2.0
zoo,3.5.0
translations,3.5.0
